id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
0,3,0,9,0,0,0,6,0,0,0,6,22,4,4,1,0,0
1,6,0,34,0,0,0,13,0,0,0,10,31,12,15,10,0,0
2,2,0,22,0,0,0,4,0,0,0,10,25,8,6,6,0,0
3,5,0,66,0,0,0,22,0,0,0,11,70,22,28,22,0,0
4,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
5,2,0,2,0,0,0,1,0,0,0,3,3,1,0,0,0,0
6,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
7,5,0,75,0,0,0,7,0,0,0,25,52,23,32,29,0,0
8,3,0,43,0,0,0,11,0,0,0,16,43,15,20,13,0,0
9,5,0,85,0,0,0,19,0,0,0,21,68,28,38,29,0,0
10,8,0,95,0,0,0,19,0,0,0,24,96,26,48,43,0,0
11,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
12,4,0,32,0,0,0,2,0,0,0,6,30,11,14,10,0,0
13,8,0,10,0,0,0,3,0,0,0,12,21,3,6,4,0,0
14,11,0,84,0,0,0,52,0,0,0,36,68,23,46,38,0,0
15,8,0,19,0,0,0,4,0,0,0,11,26,7,13,5,0,0
16,8,0,91,0,0,0,14,0,0,0,27,109,33,30,25,0,0
17,2,0,15,0,0,0,4,0,0,0,8,20,7,1,1,0,0
18,3,0,9,0,0,0,6,0,0,0,3,10,3,6,3,0,0
19,6,0,17,0,0,0,10,0,0,0,5,36,6,11,5,0,0
20,2,0,26,0,0,0,4,0,0,0,3,27,9,9,8,0,0
21,2,0,5,0,0,0,0,0,0,0,0,7,2,1,1,0,0
22,2,0,15,0,0,0,9,0,0,0,11,17,4,8,7,0,0
23,1,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
24,3,0,2,0,0,0,0,0,0,0,4,4,0,2,2,0,0
25,2,0,6,0,0,0,1,0,0,0,5,3,2,2,2,0,0
26,3,0,49,0,0,0,7,0,0,0,17,45,17,25,15,0,0
27,2,0,11,0,0,0,1,0,0,0,6,5,1,11,9,0,0
28,2,0,2,0,0,0,0,0,0,0,3,4,1,0,0,0,0
29,2,0,9,0,0,0,6,0,0,0,10,12,3,4,3,0,0
30,12,0,82,0,0,0,30,0,0,0,51,97,33,29,16,0,0
31,2,0,2,0,0,0,3,0,0,0,6,3,1,1,0,0,0
